Datetime,open,high,low,close,volume
2026-01-20 02:55:00+00:00,23830.0,23875.0,23830.0,23860.0,69808
2026-01-20 03:00:00+00:00,23860.0,23870.0,23845.0,23860.0,85555
2026-01-20 03:05:00+00:00,23865.0,23865.0,23825.0,23850.0,100838
2026-01-20 03:10:00+00:00,23845.0,23860.0,23805.0,23830.0,103499
2026-01-20 03:15:00+00:00,23820.0,23865.0,23815.0,23865.0,91611
2026-01-20 03:20:00+00:00,23865.0,23925.0,23860.0,23900.0,179024
2026-01-20 03:25:00+00:00,23905.0,23925.0,23890.0,23920.0,91335
2026-01-20 03:30:00+00:00,23915.0,23950.0,23910.0,23915.0,84477
2026-01-20 03:35:00+00:00,23915.0,23915.0,23860.0,23880.0,164868
2026-01-20 03:40:00+00:00,23880.0,23890.0,23860.0,23875.0,64060
2026-01-20 03:45:00+00:00,23875.0,23910.0,23865.0,23910.0,65522
2026-01-20 03:50:00+00:00,23910.0,23965.0,23905.0,23965.0,111708
2026-01-20 03:55:00+00:00,23965.0,23985.0,23950.0,23970.0,137774
2026-01-20 04:00:00+00:00,23960.0,23970.0,23940.0,23965.0,158880
2026-01-20 04:05:00+00:00,23965.0,23965.0,23885.0,23905.0,105844
2026-01-20 04:10:00+00:00,23905.0,23940.0,23890.0,23900.0,109604
2026-01-20 04:15:00+00:00,23900.0,23900.0,23865.0,23870.0,108264
2026-01-20 04:20:00+00:00,23870.0,23885.0,23860.0,23870.0,80920
2026-01-20 04:25:00+00:00,23875.0,23900.0,23860.0,23885.0,81910
2026-01-20 04:30:00+00:00,23890.0,23900.0,23875.0,23885.0,122335
2026-01-20 04:35:00+00:00,23885.0,23890.0,23860.0,23870.0,80261
2026-01-20 04:40:00+00:00,23870.0,23905.0,23860.0,23900.0,92500
2026-01-20 04:45:00+00:00,23895.0,23920.0,23885.0,23920.0,66779
2026-01-20 04:50:00+00:00,23920.0,23940.0,23905.0,23930.0,86918
2026-01-20 04:55:00+00:00,23935.0,23950.0,23910.0,23925.0,96038
2026-01-20 05:00:00+00:00,23925.0,23940.0,23885.0,23905.0,130139
2026-01-20 05:05:00+00:00,23905.0,23960.0,23905.0,23940.0,77135
2026-01-20 05:10:00+00:00,23940.0,23965.0,23930.0,23950.0,81309
2026-01-20 05:15:00+00:00,23950.0,23960.0,23935.0,23950.0,112219
