trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon,minutes_to_exit
112,235980,메드팩토,,,2025-11-19 10:19:52,7790.0,,,-1040.0,-1.64,"초기 실패 컷 (1.0분, -1.64%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,1.0
122,009420,한올바이오파마,2025-11-28 10:57:38,45750.0,2025-11-28 11:01:47,45450.0,0,,-600.0,-0.66,"🚨 Early Failure Cut (4.1분, -0.66%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,4.1
127,318060,그래피,2025-11-28 12:36:39,20050.0,2025-11-28 12:39:38,19900.0,0,,-150.0,-0.75,"🚨 Early Failure Cut (3.0분, -0.75%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,3.0
135,448900,한국피아이엠,2025-12-01 09:31:31,60600.0,2025-12-01 09:33:33,60100.0,0,,-500.0,-0.83,"🚨 Early Failure Cut (2.0분, -0.83%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,2.0
138,318060,그래피,2025-12-01 09:43:39,20100.0,2025-12-01 09:45:40,19980.0,0,,-120.0,-0.6,"🚨 Early Failure Cut (2.0분, -0.60%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,2.0
140,092200,디아이씨,2025-12-01 09:47:36,9540.0,2025-12-01 09:48:36,9490.0,0,,-100.0,-0.52,"🚨 Early Failure Cut (1.0분, -0.52%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,1.0
141,058610,에스피지,2025-12-01 09:45:38,63300.0,2025-12-01 09:51:39,62900.0,0,,-400.0,-0.63,"🚨 Early Failure Cut (6.0분, -0.63%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,6.0
144,200470,에이팩트,2025-12-03 09:32:32,5830.0,2025-12-03 09:33:31,5760.0,0,,-70.0,-1.2,"🚨 Early Failure Cut (1.0분, -1.20%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,1.0
146,318060,그래피,2025-12-03 09:34:31,23050.0,2025-12-03 09:38:33,22800.0,0,,-250.0,-1.08,"🚨 Early Failure Cut (4.0분, -1.08%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,4.0
148,460940,피앤에스로보틱스,2025-12-03 11:36:37,13830.0,2025-12-03 11:38:34,13680.0,0,,-150.0,-1.08,"🚨 Early Failure Cut (2.0분, -1.08%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,2.0
151,013360,일성건설,2025-12-05 10:58:03,2370.0,2025-12-05 11:03:07,2350.0,0,,-280.0,-0.84,"🚨 Early Failure Cut (5.1분, -0.84%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,5.1
193,223250,드림씨아이에스,2025-12-19 10:38:48,7610.0,2025-12-19 10:58:01,7430.0,0,,-720.0,-2.37,"🚨 Early Failure Cut (19.2분, -2.37%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,19.2
199,049630,재영솔루텍,2025-12-26 10:30:09,4175.0,2025-12-26 10:35:11,4105.0,0,,-490.0,-1.68,"🚨 Early Failure Cut (5.0분, -1.68%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,5.0
203,489500,엘케이켐,2025-12-30 10:59:25,35850.0,2025-12-30 11:04:27,35100.0,0,,-750.0,-2.09,"🚨 Early Failure Cut (5.0분, -2.09%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,5.0
204,250060,모비스,2025-12-30 10:56:23,3965.0,2025-12-30 11:05:28,3895.0,0,,-490.0,-1.77,"🚨 Early Failure Cut (9.1분, -1.77%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,9.1
206,053700,삼보모터스,2025-12-30 14:04:47,6630.0,2025-12-30 14:08:48,6520.0,0,,-770.0,-1.66,"🚨 Early Failure Cut (4.0분, -1.66%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,4.0
228,003160,디아이,2026-01-08 12:51:29,29300.0,2026-01-08 13:11:39,28750.0,0,,-550.0,-1.88,"🚨 Early Failure Cut (20.2분, -1.88%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,20.2
237,489500,엘케이켐,2026-01-09 10:41:37,33400.0,2026-01-09 11:03:49,32750.0,0,,-1300.0,-1.95,"🚨 Early Failure Cut (22.2분, -1.95%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,22.2
244,053700,삼보모터스,2026-01-09 13:24:59,6930.0,2026-01-09 13:48:11,6810.0,0,,-1680.0,-1.73,"🚨 Early Failure Cut (23.2분, -1.73%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,23.2
264,019180,티에이치엔,2026-01-14 10:00:04,9530.0,2026-01-14 10:19:11,9360.0,0,,-1190.0,-1.78,"🚨 Early Failure Cut (19.1분, -1.78%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,19.1
271,419080,엔젯,2026-01-15 12:07:22,10060.0,2026-01-15 12:09:40,9860.0,0,,-1800.0,-1.99,"🚨 Early Failure Cut (2.3분, -1.99%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,2.3
288,232680,라온테크,2026-01-21 10:49:13,16365.0,2026-01-21 11:09:16,16010.0,0,,-1065.0,-2.17,"11:09 🚨 Early Failure Cut (20.1분, -2.17%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,20.1
290,298830,슈어소프트테크,2026-01-21 14:15:02,8880.0,2026-01-21 14:27:01,8530.0,0,,-1750.0,-3.94,"14:27 🚨 Early Failure Cut (12.0분, -3.94%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,12.0
294,451760,컨텍,2026-01-22 12:44:55,21650.0,2026-01-22 12:54:32,21300.0,0,,-700.0,-1.62,"12:54 🚨 Early Failure Cut (9.6분, -1.62%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,9.6
300,060280,큐렉소,2026-01-22 14:30:35,18660.0,2026-01-22 14:52:42,18220.0,0,,-1320.0,-2.36,"14:52 🚨 Early Failure Cut (22.1분, -2.36%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,22.1
308,189300,인텔리안테크,2026-01-23 10:20:14,76200.0,2026-01-23 10:38:38,74300.0,0,,-1900.0,-2.49,"10:38 🚨 Early Failure Cut (18.4분, -2.49%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,18.4
322,200710,에이디테크놀로지,2026-01-30 10:55:04,40000.0,2026-01-30 11:14:02,39300.0,0,,-700.0,-1.75,"11:14 🚨 Early Failure Cut (VWAP 완전 이탈 (-2.63%), -1.75%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
337,101330,모베이스,2026-02-05 11:02:18,7300.0,2026-02-05 14:49:51,7020.0,0,,-3640.0,-3.84,"14:49 🚨 Early Failure v2 (-3.84%, 모든 조건 충족)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
342,211270,AP위성,2026-02-09 12:10:47,21050.0,2026-02-09 12:19:30,20900.0,0,,-750.0,-0.71,"12:19 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1)+추종실패(1), score=4)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
350,281740,레이크머티리얼즈,2026-02-10 12:01:09,24800.0,2026-02-10 12:12:00,24700.0,0,,-400.0,-0.4,"12:12 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1)+추종실패(1), score=4)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
353,039440,에스티아이,2026-02-10 12:42:58,35450.0,2026-02-10 12:50:19,35450.0,0,,0.0,,"12:50 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1), score=3)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
360,417840,저스템,2026-02-19 13:29:00,6890.0,2026-02-19 13:35:38,6870.0,0,,-140.0,-0.29,"13:35 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1), score=3)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
372,078600,대주전자재료,2026-04-06 10:44:53,125200.0,2026-04-06 10:50:56,123500.0,0,6,-1700.0,-1.36,"10:50 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1), score=3)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
379,396470,워트,2026-04-14 12:28:20,7470.0,2026-04-14 12:33:22,7450.0,0,5,-80.0,-0.27,"12:33 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1)+추종실패(1), score=4)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
385,037030,파워넷,2026-04-15 12:56:44,8640.0,2026-04-15 13:05:17,8580.0,0,8,-60.0,-0.69,"13:05 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1)+추종실패(1), score=4)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
389,294630,서남,2026-04-16 11:24:12,6030.0,2026-04-16 11:29:32,6010.0,0,5,-20.0,-0.33,"11:29 Early Failure[no_follow] 구조 (방향실패(2)+거래량고갈(1), score=3)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,
