trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon
102,226330,신테카바이오,,,2025-11-18 15:27:28,5500.0,,,0.0,,최종 강제 청산 (15:10),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
103,226330,신테카바이오,,,2025-11-18 15:27:56,5500.0,,,0.0,,최종 강제 청산 (15:10),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
104,226330,신테카바이오,,,2025-11-18 15:28:28,5500.0,,,0.0,,최종 강제 청산 (15:10),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
105,226330,신테카바이오,,,2025-11-18 15:28:56,5500.0,,,0.0,,최종 강제 청산 (15:10),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
106,226330,신테카바이오,,,2025-11-18 15:29:29,5500.0,,,0.0,,최종 강제 청산 (15:10),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
107,226330,신테카바이오,,,2025-11-18 15:29:57,5500.0,,,0.0,,최종 강제 청산 (15:10),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
108,235980,메드팩토,,,2025-11-19 10:12:47,8410.0,,,-770.0,-1.29,"초기 실패 컷 (1.0분, -1.29%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
110,235980,메드팩토,,,2025-11-19 10:15:49,8020.0,,,-1850.0,-4.41,Emergency Hard Stop (-4.41%),HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
111,235980,메드팩토,,,2025-11-19 10:17:51,7990.0,,,-400.0,-0.62,"초기 실패 컷 (1.0분, -0.62%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
112,235980,메드팩토,,,2025-11-19 10:19:52,7790.0,,,-1040.0,-1.64,"초기 실패 컷 (1.0분, -1.64%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
